Precio,Tamaño de la propiedad,Dormitorios,Baños,Parqueos
560000.0,420.0,5,4.5,4.0
475000.0,410.0,4,4.0,0.0
275000.0,232.0,3,0.0,3.0
475000.0,410.0,4,5.0,4.0
1777624.0,393.0,9,7.0,6.0
560000.0,351.5,4,4.5,4.0
425000.0,219.0,3,3.0,0.0
300000.0,245.0,3,0.0,1.0
300000.0,210.0,3,3.0,1.0
650000.0,436.0,3,3.0,8.0
315000.0,210.0,3,2.5,0.0
577000.0,335.0,3,0.0,4.0
550000.0,307.0,6,3.0,0.0
430000.0,311.0,3,0.0,4.0
560000.0,430.0,5,4.5,4.0
560000.0,430.0,5,4.5,4.0
560000.0,435.0,5,5.5,0.0
480000.0,340.0,4,4.0,0.0
560000.0,435.0,5,5.0,4.0
560000.0,435.0,5,5.0,4.0
515000.0,334.0,3,3.5,4.0
1300000.0,351.5,4,3.0,7.0
545000.0,255.0,3,4.5,0.0
300000.0,435.0,5,4.0,4.0
295000.0,250.0,3,2.5,3.0
675000.0,586.0,5,4.0,3.0
315000.0,210.0,3,2.5,0.0
250000.0,232.0,3,2.5,3.0
577000.0,320.0,3,3.5,4.0
380000.0,325.0,8,5.0,3.0
430000.0,311.0,3,2.5,4.0
577000.0,335.0,3,3.5,0.0
780000.0,380.0,3,0.0,8.0
315000.0,210.0,3,2.5,1.0
300000.0,550.0,4,4.0,20.0
475000.0,260.0,4,3.5,0.0
300000.0,550.0,4,4.5,20.0
685000.0,510.0,4,4.0,0.0
275000.0,232.0,3,3.0,0.0
450000.0,272.0,4,4.0,0.0
515000.0,320.0,3,3.0,0.0
560000.0,429.0,5,4.5,0.0
460000.0,312.0,3,2.5,4.0
315000.0,210.0,3,3.5,0.0
750000.0,675.0,8,5.0,6.0
1300000.0,950.0,6,6.5,7.0
560000.15,351.0,5,4.0,0.0
560000.0,351.5,5,3.5,0.0
560000.0,435.0,5,4.5,0.0
1300000.0,950.0,6,9.0,13.0
395000.0,325.0,9,6.0,3.0
750000.0,675.0,8,5.0,6.0
446998.0,198.0,3,3.5,3.0
437500.0,198.0,3,3.0,3.0
300000.0,352.0,4,3.5,4.0
1500000.0,950.0,6,9.5,13.0
577000.0,255.0,3,3.0,0.0
350000.0,250.0,4,3.0,4.0
1600000.0,1000.0,4,5.5,3.0
575000.0,435.0,5,4.5,4.0
300000.0,255.0,3,4.5,0.0
685000.0,510.0,4,4.0,0.0
1200000.0,550.0,4,4.0,3.0
650000.0,436.0,3,4.0,8.0
545000.0,287.0,3,2.5,0.0
590000.0,300.0,3,3.0,3.0
650000.0,330.0,3,4.0,0.0
1050000.0,650.0,6,11.0,11.0
515200.0,315.0,3,4.5,3.0
290000.0,285.0,3,3.5,3.0
577000.0,405.0,3,3.0,0.0
1300000.0,950.0,5,7.0,4.0
515000.0,335.0,3,2.5,0.0
545000.0,287.0,3,5.0,0.0
1250000.0,553.0,4,3.0,3.0
515000.0,335.0,3,3.5,4.0
850000.0,440.0,3,4.0,0.0
375000.0,280.0,3,3.5,4.0
1377198.0,1000.0,8,5.0,0.0
1300000.0,950.0,6,9.0,7.0
545000.0,287.0,3,4.5,0.0
749000.0,350.0,5,4.0,0.0
1200000.0,366.0,4,2.5,4.0
460000.0,320.0,3,3.5,4.0
510000.0,351.5,3,0.0,0.0
525000.0,320.0,3,3.5,4.0
515000.0,336.0,3,3.5,4.0
1600000.0,1000.0,4,5.0,4.0
460000.0,311.0,3,3.0,4.0
850000.0,400.0,3,3.0,8.0
1667500.0,400.0,8,6.0,5.0
1427530.0,700.0,5,3.0,0.0
248000.0,200.0,3,2.5,0.0
1230000.0,366.0,4,4.5,4.0
650000.0,400.0,3,3.5,4.0
505000.0,325.0,4,3.0,4.0
1400000.0,1331.0,11,10.0,1.0
1667250.0,1125.0,5,7.0,6.0
1350000.0,651.0,4,4.0,4.0
800000.0,750.0,3,3.0,0.0
850000.0,500.0,6,4.0,4.0
1450000.0,463.0,4,4.0,1.0
1395000.0,1000.0,8,5.5,6.0
295000.0,290.0,3,2.5,3.0
1470000.0,1000.0,6,0.0,10.0
515000.0,320.0,3,3.5,4.0
425000.0,345.0,4,3.5,6.0
1050000.0,1050.0,7,11.5,9.0
1400000.0,350.0,4,3.0,7.0
390000.0,352.0,5,3.5,0.0
